ii;yy
HAPLO.00001;3
HAPLO.00003;4
HAPLO.00004;3.5
HAPLO.00005;1.5
HAPLO.00007;2.75
HAPLO.00008;2.25
HAPLO.00009;1.5
HAPLO.00010;4
HAPLO.00011;2.5
HAPLO.00012;1.5
HAPLO.00013;3
HAPLO.00014;1.5
HAPLO.00015;1.5
HAPLO.00016;2.75
HAPLO.00017;2
HAPLO.00018;2.5
HAPLO.00019;2.5
HAPLO.00020;1.5
HAPLO.00021;1
HAPLO.00022;1.75
HAPLO.00023;1
HAPLO.00024;1.5
HAPLO.00025;2
HAPLO.00026;1.5
HAPLO.00027;1.5
HAPLO.00028;2
HAPLO.00029;1.5
HAPLO.00030;1.5
HAPLO.00031;3
HAPLO.00032;2.25
HAPLO.00033;2.5
HAPLO.00034;1.5
HAPLO.00035;1.5
HAPLO.00036;1.5
HAPLO.00037;1.5
HAPLO.00038;1
HAPLO.00039;1.5
HAPLO.00040;1
HAPLO.00042;2
HAPLO.00043;1.5
HAPLO.00044;1.5
HAPLO.00045;1.5
HAPLO.00046;1.5
HAPLO.00047;1
HAPLO.00048;1
HAPLO.00049;2.5
HAPLO.00050;1.5
HAPLO.00051;3
HAPLO.00052;2
HAPLO.00053;1.5
HAPLO.00054;1.5
HAPLO.00055;2
HAPLO.00056;2
HAPLO.00057;1
HAPLO.00058;1
HAPLO.00059;1.5
HAPLO.00060;2.5
HAPLO.00061;3
HAPLO.00062;2
HAPLO.00063;1.5
HAPLO.00064;1
HAPLO.00065;1
HAPLO.00066;2.25
HAPLO.00067;3.5
HAPLO.00068;1.5
HAPLO.00069;1
HAPLO.00070;2.5
HAPLO.00071;2.5
HAPLO.00072;2
HAPLO.00073;1
HAPLO.00074;1
HAPLO.00075;1
HAPLO.00076;2
HAPLO.00077;1.5
HAPLO.00078;2
HAPLO.00079;2
HAPLO.00080;1.5
HAPLO.00081;2
HAPLO.00082;1.5
HAPLO.00083;1.5
HAPLO.00085;2.75
HAPLO.00086;2
HAPLO.00087;1.75
HAPLO.00088;2.25
HAPLO.00089;1
HAPLO.00090;1.5
HAPLO.00091;1.5
HAPLO.00092;2
HAPLO.00093;1.5
HAPLO.00094;3
HAPLO.00095;2.25
HAPLO.00096;2.75
HAPLO.00097;3
HAPLO.00098;2
HAPLO.00099;3
HAPLO.00100;1
HAPLO.00101;2.25
HAPLO.00102;2
HAPLO.00103;1
HAPLO.00104;1.5
HAPLO.00105;2.5
HAPLO.00107;2.75
HAPLO.00108;1.5
HAPLO.00109;3
HAPLO.00110;3.25
HAPLO.00111;3.75
HAPLO.00112;3.25
HAPLO.00113;2.5
HAPLO.00114;1.5
HAPLO.00115;4
HAPLO.00116;2.5
HAPLO.00118;1
HAPLO.00119;2
HAPLO.00120;1.5
HAPLO.00121;1
HAPLO.00122;1.5
HAPLO.00123;2.5
HAPLO.00124;1.5
HAPLO.00125;1.5
HAPLO.00126;1
HAPLO.00127;1
HAPLO.00128;1.5
HAPLO.00129;1
HAPLO.00130;1
HAPLO.00131;1.5
HAPLO.00132;1.5
HAPLO.00133;2.25
HAPLO.00134;3
HAPLO.00135;1.5
HAPLO.00137;1
HAPLO.00138;1.5
HAPLO.00139;1.5
HAPLO.00140;1.5
HAPLO.00141;1
HAPLO.00142;1.5
HAPLO.00143;1.5
HAPLO.00144;1
HAPLO.00145;1
HAPLO.00146;2
HAPLO.00147;4
HAPLO.00149;1.5
HAPLO.00150;1
HAPLO.00151;1
HAPLO.00152;1
HAPLO.00153;1
HAPLO.00154;1
HAPLO.00155;1
HAPLO.00156;1
HAPLO.00157;1.5
HAPLO.00159;3
HAPLO.00160;1.5
HAPLO.00161;1
HAPLO.00162;1.5
HAPLO.00164;1.5
HAPLO.00165;1
HAPLO.00166;3.5
HAPLO.00167;1.5
HAPLO.00168;1.75
HAPLO.00169;1
HAPLO.00170;3.25
HAPLO.00171;1.5
HAPLO.00172;2.75
HAPLO.00173;1.5
HAPLO.00174;1.5
HAPLO.00176;2.5
HAPLO.00177;2.25
HAPLO.00178;3.75
HAPLO.00179;1.5
