ii;yy
HAPLO.00001;4
HAPLO.00003;4
HAPLO.00004;4
HAPLO.00005;4.5
HAPLO.00007;5
HAPLO.00008;4.5
HAPLO.00009;4.5
HAPLO.00010;4
HAPLO.00011;4.5
HAPLO.00012;4.5
HAPLO.00013;4.5
HAPLO.00014;5
HAPLO.00015;4.5
HAPLO.00016;4.5
HAPLO.00017;4
HAPLO.00018;4.5
HAPLO.00019;5
HAPLO.00020;6
HAPLO.00021;6
HAPLO.00022;5.5
HAPLO.00023;5
HAPLO.00024;4
HAPLO.00025;4
HAPLO.00026;4
HAPLO.00027;4
HAPLO.00028;4.5
HAPLO.00029;5
HAPLO.00030;4
HAPLO.00031;5
HAPLO.00032;4.5
HAPLO.00033;5
HAPLO.00034;4.5
HAPLO.00035;4.5
HAPLO.00036;5
HAPLO.00037;4.5
HAPLO.00038;4.5
HAPLO.00039;5
HAPLO.00040;4.5
HAPLO.00042;4.5
HAPLO.00043;5.5
HAPLO.00044;5.5
HAPLO.00045;5
HAPLO.00046;4.5
HAPLO.00047;4.5
HAPLO.00048;5
HAPLO.00049;5
HAPLO.00050;5
HAPLO.00051;5.5
HAPLO.00052;4.5
HAPLO.00053;4.5
HAPLO.00054;5.5
HAPLO.00055;5
HAPLO.00056;5.5
HAPLO.00057;5
HAPLO.00058;5
HAPLO.00059;5
HAPLO.00060;4.5
HAPLO.00061;4.5
HAPLO.00062;3.5
HAPLO.00063;4.5
HAPLO.00064;4
HAPLO.00065;3.5
HAPLO.00066;4.5
HAPLO.00067;5.5
HAPLO.00068;5.5
HAPLO.00069;4.5
HAPLO.00070;4.5
HAPLO.00071;5
HAPLO.00072;4
HAPLO.00073;3
HAPLO.00074;3.5
HAPLO.00075;3.5
HAPLO.00076;5
HAPLO.00077;5
HAPLO.00078;5
HAPLO.00079;4
HAPLO.00080;4
HAPLO.00081;6
HAPLO.00082;4.5
HAPLO.00083;4.5
HAPLO.00085;4
HAPLO.00086;5.5
HAPLO.00087;5
HAPLO.00088;4.5
HAPLO.00089;4.5
HAPLO.00090;5
HAPLO.00091;5
HAPLO.00092;4.5
