ii;yy
HAPLO.00001;2.5
HAPLO.00003;1
HAPLO.00004;2
HAPLO.00005;1.5
HAPLO.00007;2.5
HAPLO.00008;3.5
HAPLO.00009;2.5
HAPLO.00010;6
HAPLO.00011;2.5
HAPLO.00012;2
HAPLO.00013;1
HAPLO.00014;1
HAPLO.00015;1
HAPLO.00016;1
HAPLO.00017;1
HAPLO.00018;1
HAPLO.00019;1
HAPLO.00020;4.5
HAPLO.00021;4.5
HAPLO.00022;1.5
HAPLO.00023;1
HAPLO.00024;1
HAPLO.00025;5
HAPLO.00026;1
HAPLO.00027;1.5
HAPLO.00028;4
HAPLO.00029;2.5
HAPLO.00030;2
HAPLO.00031;4
HAPLO.00032;2.5
HAPLO.00033;1.5
HAPLO.00034;2.5
HAPLO.00035;5.666666667
HAPLO.00036;6.5
HAPLO.00037;6.5
HAPLO.00038;2.5
HAPLO.00039;5
HAPLO.00040;5.5
HAPLO.00042;1
HAPLO.00043;1.5
HAPLO.00044;2
HAPLO.00045;3.5
HAPLO.00046;3
HAPLO.00047;4.333333333
HAPLO.00048;3
HAPLO.00049;1.5
HAPLO.00050;5
HAPLO.00051;2
HAPLO.00052;1
HAPLO.00053;2
HAPLO.00054;3.5
HAPLO.00055;3
HAPLO.00056;5.5
HAPLO.00057;1
HAPLO.00058;2
HAPLO.00059;1.5
HAPLO.00060;3
HAPLO.00061;4
HAPLO.00062;1.5
HAPLO.00063;1
HAPLO.00064;1
HAPLO.00065;2
HAPLO.00066;6
HAPLO.00067;1.5
HAPLO.00068;2
HAPLO.00069;2
HAPLO.00070;1.333333333
HAPLO.00071;1
HAPLO.00072;1
HAPLO.00073;3
HAPLO.00074;2.5
HAPLO.00075;1.5
HAPLO.00076;1
HAPLO.00077;1
HAPLO.00078;1
HAPLO.00079;1
HAPLO.00080;1
HAPLO.00081;1.333333333
HAPLO.00082;1
HAPLO.00083;1
HAPLO.00085;1
HAPLO.00086;4
HAPLO.00087;1.5
HAPLO.00088;1
HAPLO.00089;1
HAPLO.00090;1
HAPLO.00091;4.5
HAPLO.00092;1
HAPLO.00093;1
HAPLO.00094;1
HAPLO.00095;2.5
HAPLO.00096;1
HAPLO.00097;2
HAPLO.00098;1
HAPLO.00099;1
HAPLO.00100;1
HAPLO.00101;1
HAPLO.00102;3
HAPLO.00103;2
HAPLO.00104;2.5
HAPLO.00105;2
HAPLO.00107;1.666666667
HAPLO.00108;2.5
HAPLO.00109;2.5
HAPLO.00110;1
HAPLO.00111;1.5
HAPLO.00112;1
HAPLO.00113;1
HAPLO.00114;1
HAPLO.00115;1
HAPLO.00116;1
HAPLO.00118;2
HAPLO.00119;1.5
HAPLO.00120;2
HAPLO.00121;6
HAPLO.00122;1
HAPLO.00123;1
